번호,과학원번호,발견일,폐사추정일,폐사경과일,,
488,20S-4101,2020-04-04,2020-03-30,5,,
489,20S-4102,2020-04-04,2020-03-05,30,,
490,20S-4106,2020-04-05,2020-04-02,3,,
491,20S-4188,2020-04-06,2020-03-07,30,,
492,20S-4189,2020-04-06,2020-03-27,10,,
493,20S-4191,2020-04-06,2020-04-01,5,,
494,20S-4192,2020-04-06,2020-04-03,3,,
495,20S-4194,2020-04-06,2020-04-03,3,,
496,20S-4195,2020-04-06,2020-04-03,3,,
497,20S-4241,2020-04-07,2020-04-04,3,,
498,20S-4243,2020-04-07,2020-04-02,5,,
499,20S-4244,2020-04-07,2020-03-08,30,,
500,20S-4245,2020-04-07,2020-03-28,10,,
501,20S-4246,2020-04-07,2020-03-31,7,,
502,20S-4247,2020-04-07,2020-03-18,20,,
503,20S-4248,2020-04-07,2020-03-23,15,,
504,20S-4249,2020-04-07,2020-03-23,15,,
505,20S-4251,2020-04-07,2020-04-02,5,,
506,20S-4253,2020-04-07,2020-03-31,7,,
507,20S-4275,2020-04-08,2020-03-24,15,,
508,20S-4276,2020-04-08,2020-03-29,10,,
509,20S-4279,2020-04-08,2020-04-01,7,,
510,20S-4280,2020-04-08,2020-04-01,7,,
511,20S-4281,2020-04-08,2020-04-03,5,,
512,20S-4282,2020-04-08,2020-04-05,3,,
513,20S-4284,2020-04-08,2020-03-24,15,,
514,20S-4336,2020-04-09,2020-04-04,5,,
515,20S-4337,2020-04-09,2020-04-04,5,,
516,20S-4338,2020-04-09,2020-03-30,10,,
517,20S-4343,2020-04-09,2020-04-06,3,,
518,20S-4348,2020-04-09,2020-04-02,7,,
519,20S-4401,2020-04-10,2020-03-31,10,,
520,20S-4406,2020-04-10,2020-03-21,20,,
521,20S-4407,2020-04-10,2020-03-26,15,,
522,20S-4408,2020-04-10,2020-03-21,20,,
523,20S-4411,2020-04-10,2020-03-21,20,,
524,20S-4413,2020-04-10,2020-04-03,7,,
525,20S-4414,2020-04-10,2020-03-31,10,,
526,20S-4421,2020-04-11,2020-03-27,15,,
527,20S-4437,2020-04-11,2020-04-11,0,,
528,20S-4441,2020-04-11,2020-03-30,12,,
529,20S-4442,2020-04-11,2020-04-01,10,,
530,20S-4450,2020-04-12,2020-04-05,7,,
531,20S-4462,2020-04-13,2020-04-06,7,,
532,20S-4472,2020-04-13,2020-04-03,10,,
533,20S-4473,2020-04-13,2020-04-10,3,,
534,20S-4475,2020-04-13,2020-03-24,20,,
535,20S-4477,2020-04-13,2020-03-24,20,,
536,20S-4538,2020-04-14,2020-04-07,7,,
537,20S-4539,2020-04-14,2020-04-09,5,,
538,20S-4541,2020-04-14,2020-04-02,12,,
539,20S-4548,2020-04-15,2020-03-21,25,,
540,20S-4579,2020-04-16,2020-04-11,5,,
541,20S-4589,2020-04-16,2020-04-09,7,,
542,20S-4590,2020-04-16,2020-04-04,12,,
543,20S-4593,2020-04-16,2020-04-11,5,,
544,20S-4595,2020-04-14,2020-03-30,15,,
545,20S-4657,2020-04-17,2020-04-17,0,,
546,20S-4674,2020-04-18,2020-04-06,12,,
547,20S-4690,2020-04-19,2020-04-07,12,,
548,20S-4691,2020-04-19,2020-04-09,10,,
549,20S-4710,2020-04-20,2020-04-13,7,,
550,20S-4759,2020-04-19,2020-04-14,5,,
551,20S-4768,2020-04-21,2020-03-22,30,,
552,20S-4769,2020-04-21,2020-04-06,15,,
553,20S-4773,2020-04-21,2020-03-27,25,,
554,20S-4774,2020-04-21,2020-04-06,15,,
555,20S-4776,2020-04-21,2020-04-09,12,,
556,20S-4777,2020-04-21,2020-04-14,7,,
557,20S-4778,2020-04-21,2020-04-16,5,,
558,20S-4780,2020-04-21,2020-04-09,12,,
559,20S-4783,2020-04-20,2020-04-13,7,,
560,20S-4819,2020-04-21,2020-04-16,5,,
561,20S-4823,2020-04-22,2020-04-02,20,,
562,20S-4825,2020-04-22,2020-01-13,100,,
563,20S-4826,2020-04-22,2020-04-10,12,,
564,20S-4831,2020-04-22,2020-04-07,15,,
565,20S-4833,2020-04-22,2020-04-02,20,,
566,20S-4862,2020-04-23,2020-03-24,30,,
567,20S-4864,2020-04-23,2020-04-08,15,,
568,20S-4865,2020-04-23,2020-04-08,15,,
569,20S-4872,2020-04-23,2020-04-03,20,,
570,20S-4912,2020-04-24,2020-04-04,20,,
571,20S-4962,2020-04-26,2020-04-11,15,,
572,20S-4965,2020-04-25,2020-04-15,10,,
573,20S-4968,2020-04-26,2020-04-06,20,,
574,20S-4969,2020-04-26,2020-04-11,15,,
575,20S-4970,2020-04-26,2020-04-19,7,,
576,20S-4971,2020-04-26,2020-04-16,10,,
577,20S-4992,2020-04-27,2020-04-02,25,,
578,20S-4994,2020-04-27,2020-04-12,15,,
579,20S-4995,2020-04-27,2020-04-15,12,,
580,20S-4997,2020-04-27,2020-04-02,25,,
581,20S-5067,2020-04-28,2020-04-23,5,,
582,20S-5071,2020-04-28,2020-04-03,25,,
583,20S-5073,2020-04-28,2020-04-25,3,,
584,20S-5105,2020-04-29,2020-04-04,25,,
585,20S-5106,2020-04-29,2020-04-09,20,,
586,20S-5123,2020-04-30,2020-03-21,40,,
587,20S-5124,2020-04-30,2020-03-31,30,,
588,20S-5132,2020-04-29,2020-04-22,7,,
589,20S-5133,2020-04-29,2020-04-04,25,,
590,20S-5135,2020-05-01,2020-03-12,50,,
591,20S-5183,2020-05-02,2020-04-12,20,,
592,20S-5184,2020-05-02,2020-04-12,20,,
593,20S-5185,2020-05-02,2020-04-17,15,,
594,20S-5186,2020-05-02,2020-04-12,20,,
595,20S-5188,2020-05-02,2020-04-02,30,,
596,20S-5237,2020-05-04,2020-04-29,5,,
597,20S-5238,2020-05-04,2020-04-19,15,,
598,20S-5239,2020-05-04,2020-03-25,40,,
599,20S-5243,2020-05-04,2020-04-19,15,,
600,20S-5246,2020-05-04,2020-04-19,15,,
601,20S-5253,2020-05-04,2020-04-04,30,,
602,20S-5254,2020-05-04,2020-04-14,20,,
603,20S-5255,2020-05-04,2020-04-27,7,,
604,20S-5257,2020-05-04,2020-03-05,60,,
605,20S-5316,2020-05-06,2020-03-27,40,,
606,20S-5344,2020-05-06,2020-05-06,0,,
607,20S-5391,2020-05-08,2020-05-01,7,,
608,20S-5410,2020-05-10,2020-03-31,40,,
609,20S-5411,2020-05-10,2020-04-20,20,,
610,20S-5438,2020-05-11,2020-04-11,30,,
611,20S-5443,2020-05-11,2020-05-06,5,,
612,20S-5446,2020-05-11,2020-04-11,30,,
613,20S-5482,2020-05-12,2020-04-12,30,,
614,20S-5483,2020-05-12,2020-04-12,30,,
615,20S-5484,2020-05-12,2020-03-13,60,,
616,20S-5485,2020-05-12,2020-03-23,50,,
617,20S-5534,2020-05-13,2020-03-14,60,,
618,20S-5548,2020-05-14,2020-04-24,20,,
619,20S-5550,2020-05-13,2020-04-03,40,,
620,20S-5553,2020-05-14,2020-04-14,30,,
621,20S-5554,2020-05-14,2020-04-24,20,,
622,20S-5614,2020-05-18,2020-04-18,30,,
623,20S-5622,2020-05-18,2020-05-15,3,,
624,20S-5691,2020-05-20,2020-03-31,50,,
625,20S-5759,2020-05-22,2020-03-23,60,,
626,20S-5760,2020-05-22,2020-04-12,40,,
627,20S-5763,2020-05-22,2020-04-27,25,,
628,20S-5802,2020-05-25,2020-04-25,30,,
629,20S-5803,2020-05-25,2020-03-26,60,,
630,20S-5810,2020-05-22,2020-05-22,0,,
631,20S-5852,2020-05-26,2020-04-16,40,,
632,20S-6072,2020-06-04,2020-05-15,20,,
633,20S-6137,2020-06-08,2020-05-19,20,,
634,20S-6182,2020-06-09,2020-06-02,7,,
635,20S-6215,2020-06-10,2020-06-09,1,,
636,20S-6258,2020-06-11,2020-05-22,20,,
637,20S-6272,2020-06-12,2020-05-18,25,,
638,20S-6275,2020-06-12,2020-05-03,40,,
639,20S-6307,2020-06-13,2020-06-12,1,,
640,20S-6326,2020-06-15,2020-06-12,3,,
641,20S-6418,2020-06-18,2020-06-13,5,,
642,20S-6419,2020-06-18,2020-06-15,3,,
643,20S-6421,2020-06-18,2020-04-29,50,,
644,20S-6422,2020-06-18,2020-05-29,20,,
645,20S-6448,2020-06-17,2020-06-17,0,,
646,20S-6508,2020-06-22,2020-05-13,40,,
647,20S-6510,2020-06-22,2020-06-17,5,,
648,20S-6511,2020-06-22,2020-06-15,7,,
649,20S-6512,2020-06-22,2020-06-15,7,,
650,20S-6513,2020-06-22,2020-06-15,7,,
651,20S-6514,2020-06-22,2020-06-12,10,,
652,20S-6515,2020-06-22,2020-06-15,7,,
653,20S-6569,2020-06-23,2020-06-08,15,,
654,20S-6678,2020-06-27,2020-05-18,40,,
655,20S-6728,2020-06-29,2020-05-10,50,,
656,20S-6835,2020-07-01,2020-06-16,15,,
657,20S-6877,2020-07-01,2020-06-26,5,,
658,20S-6879,2020-07-01,2020-06-06,25,,
659,20S-6894,2020-07-02,2020-06-27,5,,
660,20S-6944,2020-07-03,2020-06-03,30,,
661,20S-6946,2020-07-03,2020-06-25,8,,
662,20S-6947,2020-07-03,2020-06-28,5,,
663,20S-6976,2020-07-06,2020-06-28,8,,
664,20S-7060,2020-07-07,2020-07-02,5,,
665,20S-7062,2020-07-07,2020-06-30,7,,
666,20S-7063,2020-07-07,2020-06-22,15,,
667,20S-7080,2020-07-07,2020-07-02,5,,
668,20S-7214,2020-07-10,2020-07-03,7,,
669,20S-7238,2020-07-11,2020-07-03,8,,
670,20S-7272,2020-07-11,2020-06-28,13,,
671,20S-7323,2020-07-13,2020-07-07,6,,
672,20S-7408,2020-07-15,2020-06-30,15,,
673,20S-7410,2020-07-15,2020-07-10,5,,
674,20S-7444,2020-07-15,2020-07-15,0,,
675,20S-7459,2020-07-16,2020-07-01,15,,
676,20S-7462,2020-07-16,2020-06-16,30,,
677,20S-7671,2020-07-20,2020-07-20,0,,
678,20S-7768,2020-07-22,2020-07-17,5,,
679,20S-7788,2020-07-22,2020-07-22,0,,
680,20S-7817,2020-07-23,2020-07-13,10,,
681,20S-7893,2020-07-25,2020-07-08,17,,
682,20S-7894,2020-07-25,2020-07-15,10,,
683,20S-7895,2020-07-25,2020-07-18,7,,
684,20S-7896,2020-07-25,2020-06-30,25,,
685,20S-7928,2020-07-27,2020-07-22,5,,
686,20S-7929,2020-07-27,2020-07-22,5,,
687,20S-8021,2020-07-28,2020-07-13,15,,
688,20S-8029,2020-07-28,2020-07-21,7,,
689,20S-8057,2020-07-28,2020-07-28,0,,
690,20S-8163,2020-07-31,2020-07-26,5,,
691,20S-8228,2020-08-01,2020-08-01,0,,
692,20S-8280,2020-08-05,2020-08-05,0,,
693,20S-8319,2020-08-06,2020-08-06,0,,
694,20S-8334,2020-08-07,2020-08-04,3,,
695,20S-8337,2020-08-07,2020-07-28,10,,
696,20S-8359,2020-08-07,2020-08-04,3,,
697,20S-8388,2020-08-08,2020-08-08,0,,
698,20S-8393,2020-08-10,2020-08-05,5,,
699,20S-8425,2020-08-11,2020-08-04,7,,
700,20S-8426,2020-08-11,2020-08-06,5,,
701,20S-8467,2020-08-12,2020-07-21,22,,
702,20S-8510,2020-08-12,2020-08-07,5,,
703,20S-8515,2020-08-13,2020-08-06,7,,
704,20S-8516,2020-08-13,2020-08-06,7,,
705,20S-8517,2020-08-13,2020-07-29,15,,
706,20S-8519,2020-08-13,2020-05-15,90,,
707,20S-8527,2020-08-14,2020-07-30,15,,
708,20S-8532,2020-08-14,2020-08-07,7,,
709,20S-8557,2020-08-15,2020-08-12,3,,
710,20S-8560,2020-08-17,2020-08-02,15,,
711,20S-8562,2020-08-17,2020-08-14,3,,
712,20S-8582,2020-08-18,2020-08-13,5,,
713,20S-8584,2020-08-18,2020-07-24,25,,
714,20S-8585,2020-08-18,2020-08-14,4,,
715,20S-8588,2020-08-18,2020-08-08,10,,
716,20S-8624,2020-08-18,2020-08-06,12,,
717,20S-8626,2020-08-19,2020-07-20,30,,
718,20S-8629,2020-08-19,2020-06-30,50,,
719,20S-8648,2020-08-20,2020-08-17,3,,
720,20S-8649,2020-08-20,2020-07-01,50,,
721,20S-8655,2020-08-19,2020-08-19,0,,
722,20S-8677,2020-08-23,2020-08-08,15,,
723,20S-8678,2020-08-22,2020-08-17,5,,
724,20S-8679,2020-08-22,2020-08-15,7,,
725,20S-8704,2020-08-23,2020-08-16,7,,
726,20S-8731,2020-08-25,2020-07-16,40,,
727,20S-8732,2020-08-25,2020-07-26,30,,
728,20S-8795,2020-08-31,2020-08-11,20,,
729,20S-8798,2020-08-30,2020-07-26,35,,
730,20S-8799,2020-08-30,2020-07-31,30,,
731,20S-8800,2020-08-31,2020-07-22,40,,
732,20S-8829,2020-09-02,2020-08-28,5,,
733,20S-8832,2020-09-02,2020-07-24,40,,
734,20S-8833,2020-09-02,2020-08-18,15,,
735,20S-8860,2020-09-04,2020-08-31,4,,
736,20S-8880,2020-09-07,2020-09-04,3,,
737,20S-8935,2020-09-08,2020-09-08,0,,
738,20S-8954,2020-09-11,2020-09-08,3,,
739,20S-9061,2020-09-16,2020-09-16,0,,
740,20S-9071,2020-09-18,2020-09-03,15,,
741,20S-9095,2020-09-21,2020-08-27,25,,
742,20S-9131,2020-09-22,2020-09-09,13,,
743,20S-9132,2020-09-22,2020-09-04,18,,
744,20S-9133,2020-09-22,2020-09-17,5,,
745,20S-9175,2020-09-22,2020-09-02,20,,
746,20S-9216,2020-09-25,2020-09-20,5,,
747,20S-9218,2020-09-25,2020-09-07,18,,
748,20S-9238,2020-09-26,2020-09-23,3,,
749,20S-9239,2020-09-26,2020-09-16,10,,
750,20S-9240,2020-09-27,2020-09-20,7,,
751,20S-9241,2020-09-26,2020-09-26,0,,
752,20S-9250,2020-09-26,2020-09-23,3,,
753,20S-9251,2020-09-28,2020-09-25,3,,
754,20S-9285,2020-09-28,2020-09-25,3,,
755,20S-9317,2020-09-29,2020-09-04,25,,
756,20S-9332,2020-10-04,2020-09-27,7,,
757,20S-9347,2020-10-05,2020-09-23,12,,
758,20S-9370,2020-10-06,2020-10-04,2,,
759,20S-9426,2020-10-08,2020-08-09,60,,
760,20S-9427,2020-10-08,2020-08-09,60,,
761,20S-9456,2020-10-08,2020-09-25,13,,
762,20S-9473,2020-10-12,2020-10-09,3,,
763,20S-9478,2020-10-11,2020-10-10,1,,
764,20S-9524,2020-10-10,2020-10-10,0,,
765,20S-9568,2020-10-13,2020-09-28,15,,
766,20S-9598,2020-10-15,2020-10-12,3,,
767,20S-9696,2020-10-20,2020-09-30,20,,
768,20S-9723,2020-10-21,2020-10-19,2,,
769,20S-9729,2020-10-21,2020-10-06,15,,
770,20S-9792,2020-10-24,2020-10-02,22,,
771,20S-9793,2020-10-24,2020-10-02,22,,
772,20S-9795,2020-10-25,2020-10-19,6,,
773,20S-9812,2020-10-26,2020-10-11,15,,
774,20S-9846,2020-10-26,2020-09-11,45,,
775,20S-9863,2020-10-27,2020-10-22,5,,
776,20S-9870,2020-10-27,2020-10-17,10,,
777,20S-9931,2020-10-29,2020-10-26,3,,
778,20S-9963,2020-10-30,2020-10-27,3,,
779,20S-9964,2020-10-30,2020-09-15,45,,
780,20S-9998,2020-10-31,2020-10-28,3,,
781,20S-9999,2020-10-31,2020-10-28,3,,
782,20S-10002,2020-11-01,2020-09-17,45,,
783,20S-10058,2020-11-03,2020-10-25,9,,
784,20S-10059,2020-11-03,2020-10-16,18,,
785,20S-10088,2020-11-04,2020-11-01,3,,
786,20S-10109,2020-11-05,2020-07-28,100,,
787,20S-10113,2020-11-05,2020-11-02,3,,
788,20S-10145,2020-11-06,2020-10-31,6,,
789,20S-10232,2020-11-09,2020-10-15,25,,
790,20S-10233,2020-11-09,2020-10-30,10,,
791,20S-10235,2020-11-09,2020-10-25,15,,
792,20S-10276,2020-11-09,2020-11-01,8,,
793,20S-10305,2020-11-11,2020-08-13,90,,
794,20S-10308,2020-11-11,2020-11-07,4,,
795,20S-10343,2020-11-11,2020-11-06,5,,
796,20S-10345,2020-11-12,2020-10-23,20,,
797,20S-10347,2020-11-11,2020-11-08,3,,
798,20S-10401,2020-11-13,2020-11-08,5,,
799,20S-10408,2020-11-12,2020-11-07,5,,
800,20S-10435,2020-11-16,2020-10-30,17,,
801,20S-10438,2020-11-16,2020-09-17,60,,
802,20S-10485,2020-11-16,2020-11-06,10,,
803,20S-10491,2020-11-17,2020-11-10,7,,
804,20S-10492,2020-11-17,2020-11-13,4,,
805,20S-10625,2020-11-23,2020-11-20,3,,
806,20S-10626,2020-11-23,2020-11-19,4,,
807,20S-10628,2020-11-22,2020-11-17,5,,
809,20S-10632,2020-11-23,2020-11-13,10,,
810,20S-10633,2020-11-23,2020-11-18,5,,
808,20S-10634,2020-11-23,2020-11-05,18,,
811,20S-10704,2020-11-24,2020-11-09,15,,
812,20S-10712,2020-11-24,2020-11-20,4,,
813,20S-10733,2020-11-25,2020-11-05,20,,
814,20S-10735,2020-11-25,2020-11-17,8,,
815,20S-10737,2020-11-25,2020-11-21,4,,
816,20S-10739,2020-11-25,2020-11-21,4,,
817,20S-10769,2020-11-26,2020-09-17,70,,
818,20S-10774,2020-11-26,2020-10-07,50,,
819,20S-10776,2020-11-26,2020-09-27,60,,
820,20S-10787,2020-11-25,2020-11-25,0,,
821,20S-10788,2020-11-25,2020-11-25,0,,
822,20S-10789,2020-11-25,2020-11-25,0,,
823,20S-10790,2020-11-25,2020-11-25,0,,
824,20S-10791,2020-11-27,2020-11-20,7,,
825,20S-10792,2020-11-27,2020-11-07,20,,
826,20S-10793,2020-11-27,2020-11-17,10,,
827,20S-10794,2020-11-27,2020-11-12,15,,
828,20S-10796,2020-11-27,2020-11-24,3,,
829,20S-10797,2020-11-27,2020-11-22,5,,
830,20S-10798,2020-11-27,2020-11-02,25,,
831,20S-10800,2020-11-27,2020-11-02,25,,
832,20S-10846,2020-11-28,2020-11-20,8,,
833,20S-10870,2020-11-27,2020-11-27,0,,
834,20S-10873,2020-11-30,2020-11-27,3 ,,
835,20S-10879,2020-11-30,2020-11-10,20 ,,
836,20S-10881,2020-11-30,2020-11-05,25 ,,
837,20S-10951,2020-12-01,2020-11-19,12 ,,
838,20S-10983,2020-12-02,2020-11-25,7,,
839,20S-10986,2020-12-02,2020-11-27,5,,
840,20S-10989,2020-12-02,2020-10-13,50,,
841,20S-10991,2020-12-02,2020-11-28,4,,
842,20S-11032,2020-12-04,2020-12-01,3,,
843,20S-11042,2020-12-04,2020-11-22,12,,
844,20S-11043,2020-12-05,2020-12-03,2,,
845,20S-11073,2020-12-07,2020-11-27,10,,
846,20S-11075,2020-12-07,2020-12-02,5,,
847,20S-11080,2020-12-07,2020-11-27,10,,
848,20S-11091,2020-12-07,2020-12-07,0,,
849,20S-11094,2020-12-06,2020-12-06,0,,
850,20S-11120,2020-12-08,2020-12-04,4,,
851,20S-11121,2020-12-08,2020-11-30,8,,
852,20S-11122,2020-12-08,2020-12-01,7,,
853,20S-11123,2020-12-08,2020-12-01,7,,
854,20S-11124,2020-12-08,2020-11-18,20,,
855,20S-11127,2020-12-08,2020-12-01,7,,
856,20S-11128,2020-12-08,2020-12-03,5,,
857,20S-11130,2020-12-08,2020-12-03,5,,
858,20S-11132,2020-12-08,2020-11-26,12,,
859,20S-11133,2020-12-08,2020-09-29,70,,
860,20S-11134,2020-12-08,2020-12-01,7,,
861,20S-11159,2020-12-09,2020-10-10,60,,
862,20S-11160,2020-12-09,2020-11-19,20,,
863,20S-11161,2020-12-09,2020-11-09,30,,
864,20S-11162,2020-12-09,2020-12-04,5,,
865,20S-11163,2020-12-09,2020-12-04,5,,
866,20S-11166,2020-12-09,2020-10-20,50,,
867,20S-11195,2020-12-09,2020-12-09,0,,
868,20S-11196,2020-12-09,2020-12-09,0,,
869,20S-11197,2020-12-10,2020-11-30,10,,
870,20S-11198,2020-12-10,2020-12-05,5,,
871,20S-11199,2020-12-10,2020-12-06,4,,
872,20S-11200,2020-12-10,2020-12-06,4,,
873,20S-11201,2020-12-10,2020-12-05,5,,
874,20S-11208,2020-12-10,2020-12-07,3,,
875,20S-11209,2020-12-10,2020-12-07,3,,
876,20S-11238,2020-12-11,2020-12-06,5,,
877,20S-11239,2020-12-11,2020-12-06,5,,
878,20S-11240,2020-12-11,2020-12-08,3,,
879,20S-11242,2020-12-10,2020-12-06,4,,
880,20S-11244,2020-12-11,2020-11-06,35,,
881,20S-11246,2020-12-11,2020-12-08,3,,
882,20S-11248,2020-12-11,2020-12-07,4,,
883,20S-11269,2020-12-12,2020-12-08,4,,
884,20S-11273,2020-12-12,2020-12-05,7,,
885,20S-11405,2020-12-17,2020-12-10,7,,
886,20S-11492,2020-12-18,2020-11-18,30,,
887,20S-11533,2020-12-19,2020-12-12,7,,
888,20S-11541,2020-12-21,2020-12-11,10,,
889,20S-11549,2020-12-21,2020-12-16,5,,
890,20S-11550,2020-12-21,2020-12-14,7,,
891,20S-11551,2020-12-21,2020-12-14,7,,
892,20S-11572,2020-12-22,2020-10-13,70,,
893,20S-11576,2020-12-22,2020-12-12,10,,
894,20S-11627,2020-12-23,2020-12-16,7,,
895,20S-11628,2020-12-23,2020-12-13,10,,
896,20S-11629,2020-12-23,2020-11-28,25,,
897,20S-11631,2020-12-23,2020-11-13,40,,
898,20S-11676,2020-12-24,2020-12-19,5,,
899,20S-11685,2020-12-25,2020-12-23,2,,
900,20S-11687,2020-12-27,2020-12-23,4,,
901,20S-11737,2020-12-28,2020-12-13,15,,
902,20S-11738,2020-12-28,2020-12-18,10,,
903,20S-11739,2020-12-28,2020-12-25,3,,
904,20S-11744,2020-12-28,2020-12-03,25,,
905,20S-11745,2020-12-28,2020-12-25,3,,
906,20S-11754,2020-12-27,2020-12-27,0,,
907,20S-11755,2020-12-27,2020-12-27,0,,
908,20S-11763,2020-12-28,2020-12-28,0,,
909,20S-11895,2020-12-28,2020-12-13,15,,
910,20S-11902,2020-12-29,2020-12-19,10,,
911,20S-11905,2020-12-29,2020-12-24,5,,
912,21S-00001,2021-01-01,2020-12-20,12,,
913,21S-00002,2021-01-01,2020-12-25,7,,
914,21S-00003,2021-01-01,2020-12-25,7,,
915,21S-00004,2021-01-01,2020-12-25,7,,
916,21S-00005,2021-01-01,2020-12-12,20,,
917,21S-00006,2021-01-01,2020-12-20,12,,
918,21S-00025,2020-12-31,2020-12-26,5,,
919,21S-00026,2020-12-31,2020-12-23,8,,
920,21S-00043,2021-01-01,2021-01-01,0,,
921,21S-00101,2021-01-04,2020-12-30,5,,
922,21S-00108,2021-01-04,2021-01-04,0,,
923,21S-00109,2021-01-04,2021-01-04,0,,
924,21S-00124,2021-01-04,2020-12-31,4,,
925,21S-00127,2021-01-05,2020-12-29,7,,
926,21S-00150,2021-01-06,2021-01-02,4,,
927,21S-00151,2021-01-06,2021-01-02,4,,
928,21S-00152,2021-01-06,2020-12-27,10,,
929,21S-00153,2021-01-06,2020-12-30,7,,
930,21S-00184,2021-01-10,2021-01-05,5,,
931,21S-00185,2021-01-09,2020-12-26,14,,
932,21S-00186,2021-01-09,2020-12-20,20,,
933,21S-00193,2021-01-08,2021-01-08,0,,
934,21S-00196,2021-01-09,2021-01-09,0,,
935,21S-00203,2021-01-11,2020-12-22,20,,
936,21S-00204,2021-01-11,2021-01-06,5,,
937,21S-00216,2021-01-11,2021-01-11,0,,
938,21S-00225,2021-01-11,2021-01-11,0,,
939,21S-00233,2021-01-12,2021-01-02,10,,
940,21S-00235,2021-01-12,2020-12-28,15,,
941,21S-00236,2021-01-12,2021-01-08,4,,
942,21S-00314,2021-01-13,2020-12-19,25,,
943,21S-00316,2021-01-13,2020-12-24,20,,
944,21S-00318,2021-01-13,2020-12-29,15,,
945,21S-00338,2021-01-13,2020-12-19,25,,
946,21S-00344,2021-01-14,2020-12-27,18,,
947,21S-00345,2021-01-14,2020-12-15,30,,
948,21S-00346,2021-01-14,2020-12-10,35,,
949,21S-00347,2021-01-14,2020-12-25,20,,
950,21S-00348,2021-01-14,2021-01-04,10,,
951,21S-00401,2021-01-14,2020-12-31,14,,
952,21S-00402,2021-01-14,2021-01-04,10,,
953,21S-00403,2021-01-15,2020-12-26,20,,
954,21S-00404,2021-01-15,2020-12-29,17,,
955,21S-00405,2021-01-15,2021-01-01,14,,
956,21S-00406,2021-01-15,2020-12-29,17,,
957,21S-00409,2021-01-15,2021-01-07,8,,
958,21S-00422,2021-01-16,2021-01-11,5,,
959,21S-00423,2021-01-16,2021-01-11,5,,
960,21S-00424,2021-01-16,2021-01-09,7,,
961,21S-00425,2021-01-16,2021-01-12,4,,
962,21S-00427,2021-01-16,2021-01-12,4,,
963,21S-00428,2021-01-15,2020-12-28,18,,
964,21S-00482,2021-01-18,2021-01-08,10,,
965,21S-00484,2021-01-18,2021-01-08,10,,
